device_id,last_seen,cpu_percent,mem_percent,patch_status,deploy_success
1000,2024-12-09,44.74,84.23,Compliant,1
1001,2025-03-10,63.52,62.76,Compliant,0
1002,2024-10-03,37.51,41.02,Compliant,1
1003,2025-02-10,36.38,92.19,Compliant,1
1004,2025-01-22,35.44,78.09,Compliant,1
1005,2024-10-12,31.15,41.68,Non-Compliant,1
1006,2024-11-02,38.27,63.47,Compliant,1
1007,2024-10-27,30.77,60.75,Compliant,1
1008,2025-01-21,46.92,66.78,Compliant,1
1009,2025-02-02,47.13,57.96,Compliant,1
1010,2024-10-13,43.63,55.46,Compliant,1
1011,2025-01-18,45.98,100.0,Compliant,1
1012,2025-01-31,52.18,66.95,Non-Compliant,1
1013,2025-03-13,24.62,42.02,Compliant,1
1014,2025-01-13,44.09,47.25,Compliant,1
1015,2024-12-03,64.1,92.92,Non-Compliant,1
1016,2025-03-27,32.02,49.37,Compliant,1
1017,2025-01-30,77.59,37.54,Compliant,1
1018,2025-03-28,35.46,57.44,Compliant,1
1019,2025-02-09,43.72,52.69,Compliant,1
1020,2024-11-13,44.38,84.47,Compliant,1
1021,2024-10-18,18.53,88.29,Compliant,1
1022,2024-10-18,28.01,50.65,Compliant,1
1023,2024-10-06,49.91,73.17,Non-Compliant,1
1024,2024-11-12,36.52,54.02,Compliant,1
1025,2024-10-09,26.96,40.56,Compliant,1
1026,2025-02-28,58.24,92.58,Compliant,1
1027,2024-10-11,44.63,95.82,Compliant,1
1028,2024-12-18,37.88,63.86,Compliant,0
1029,2024-10-17,74.27,44.34,Non-Compliant,1
1030,2025-03-27,25.0,37.32,Compliant,1
1031,2024-12-29,24.51,70.18,Compliant,0
1032,2024-10-14,34.03,83.63,Non-Compliant,0
1033,2024-11-08,44.18,60.05,Compliant,1
1034,2025-01-28,46.78,79.18,Non-Compliant,1
1035,2024-11-24,29.09,53.04,Compliant,1
1036,2024-10-09,19.12,46.18,Compliant,1
1037,2024-10-27,48.76,62.56,Compliant,1
1038,2025-03-12,33.37,17.27,Non-Compliant,1
1039,2024-12-30,40.12,47.81,Compliant,1
1040,2024-11-29,41.29,73.95,Non-Compliant,1
1041,2024-10-30,54.35,9.03,Compliant,1
1042,2024-12-29,32.31,31.92,Compliant,1
1043,2025-01-11,63.83,54.96,Compliant,1
1044,2025-02-01,37.8,33.79,Compliant,1
1045,2025-03-16,19.87,48.15,Compliant,1
1046,2025-03-29,24.88,16.97,Compliant,1
1047,2025-01-12,24.21,70.49,Compliant,1
1048,2024-11-27,29.08,79.56,Compliant,1
1049,2024-12-04,43.87,27.32,Non-Compliant,1
1050,2025-02-03,55.09,61.96,Compliant,1
1051,2024-12-28,6.68,53.69,Compliant,0
1052,2025-03-06,53.42,66.93,Compliant,1
1053,2025-03-19,61.2,87.18,Compliant,1
1054,2024-10-28,70.77,34.83,Compliant,1
1055,2024-10-10,46.3,82.87,Non-Compliant,1
1056,2024-10-11,13.33,91.5,Compliant,1
1057,2024-10-30,19.84,23.01,Compliant,1
1058,2024-11-18,53.38,77.48,Compliant,1
1059,2024-10-28,41.4,40.52,Compliant,1
1060,2024-10-20,30.55,70.48,Compliant,1
1061,2025-02-17,17.62,42.01,Compliant,1
1062,2025-02-10,23.85,46.66,Compliant,1
1063,2024-10-30,47.87,44.73,Compliant,1
1064,2025-03-10,47.19,38.46,Compliant,0
1065,2025-02-15,54.49,72.68,Non-Compliant,1
1066,2025-03-16,59.8,67.37,Compliant,1
1067,2024-12-30,26.83,67.87,Compliant,1
1068,2024-12-15,53.84,50.34,Compliant,1
1069,2024-12-05,28.87,52.35,Compliant,1
1070,2025-03-18,38.13,65.19,Compliant,1
1071,2024-11-06,29.01,41.54,Non-Compliant,1
1072,2025-01-23,51.55,47.87,Compliant,1
1073,2025-01-22,31.31,76.16,Non-Compliant,1
1074,2025-02-13,49.71,65.44,Compliant,1
1075,2024-11-26,47.18,80.82,Compliant,1
1076,2024-12-06,57.08,7.07,Compliant,1
1077,2024-10-28,48.77,87.01,Compliant,0
1078,2025-02-19,68.04,76.15,Non-Compliant,1
1079,2025-02-16,30.36,76.52,Compliant,1
1080,2025-03-06,51.92,25.37,Compliant,1
1081,2025-01-15,46.02,46.57,Non-Compliant,1
1082,2025-02-14,28.68,49.12,Compliant,1
1083,2025-01-30,54.35,60.98,Compliant,1
1084,2025-03-13,52.76,93.16,Compliant,1
1085,2025-02-24,30.32,61.73,Compliant,1
1086,2025-02-12,14.93,81.08,Compliant,1
1087,2024-10-17,38.43,85.49,Non-Compliant,1
1088,2025-02-04,29.71,71.42,Compliant,0
1089,2024-11-17,42.44,62.11,Compliant,1
1090,2025-03-28,40.16,82.39,Compliant,1
1091,2024-12-26,66.72,26.06,Compliant,1
1092,2024-12-15,28.94,70.25,Non-Compliant,1
1093,2024-12-28,48.88,88.25,Compliant,1
1094,2024-12-17,19.72,60.5,Compliant,1
1095,2024-11-27,25.31,69.31,Compliant,1
1096,2025-02-12,33.36,77.99,Non-Compliant,1
1097,2025-01-15,27.32,49.97,Compliant,1
1098,2024-12-01,46.55,100.0,Compliant,1
1099,2025-02-20,39.58,33.31,Compliant,1
1100,2024-12-06,52.37,19.83,Compliant,1
1101,2025-02-03,24.61,71.33,Compliant,1
1102,2024-11-22,42.68,44.81,Compliant,1
1103,2025-03-18,28.84,60.64,Non-Compliant,1
1104,2025-02-22,59.08,62.52,Compliant,1
1105,2025-01-21,24.61,65.89,Non-Compliant,1
1106,2025-03-21,13.63,30.64,Compliant,1
1107,2025-01-18,31.2,41.97,Non-Compliant,1
1108,2025-02-25,23.18,79.64,Non-Compliant,1
1109,2025-02-04,42.15,45.94,Compliant,1
1110,2025-02-06,48.73,54.31,Compliant,1
1111,2025-01-04,50.95,44.99,Compliant,1
1112,2025-01-29,7.97,66.04,Compliant,1
1113,2025-01-26,50.83,47.76,Compliant,1
1114,2024-12-24,43.41,88.61,Non-Compliant,1
1115,2024-10-31,50.52,40.37,Compliant,1
1116,2024-10-17,53.19,27.31,Compliant,1
1117,2024-12-28,30.74,31.9,Compliant,1
1118,2024-11-10,26.43,78.88,Non-Compliant,1
1119,2025-01-24,44.91,31.67,Compliant,0
1120,2025-03-05,54.47,28.65,Compliant,1
