order_id,order_date,region,category,price,quantity,profit
80000,2024-11-10,East,Beauty,1293.5,1,306.15
80001,2025-05-27,South,Home,3882.3,3,2822.69
80002,2025-03-21,South,Beauty,2550.28,1,478.31
80003,2025-07-27,West,Beauty,2415.84,2,986.49
80004,2025-02-11,North,Electronics,1564.15,2,683.54
80005,2025-04-09,West,Home,1659.48,4,1383.83
80006,2025-02-22,East,Home,1116.78,4,390.57
80007,2025-01-22,South,Electronics,4733.0,3,716.4
80008,2024-12-30,North,Beauty,1266.02,2,417.18
80009,2025-07-24,North,Home,289.1,2,101.17
80010,2025-05-12,North,Beauty,2170.67,4,826.3
80011,2025-02-28,East,Home,4845.83,1,423.9
80012,2024-11-07,East,Clothing,248.74,4,155.67
80013,2025-03-18,East,Beauty,1365.46,3,936.58
80014,2024-10-31,South,Electronics,1327.8,4,465.05
80015,2025-01-31,South,Beauty,2709.28,1,609.6
80016,2024-12-19,South,Beauty,3806.8,1,847.39
80017,2025-02-21,North,Home,2129.05,3,639.14
80018,2024-12-07,South,Beauty,1711.09,4,1434.18
80019,2024-12-08,North,Electronics,1496.23,2,723.38
80020,2025-03-31,West,Home,4596.13,3,1124.39
80021,2025-05-08,South,Home,4709.06,2,1499.32
80022,2025-09-08,North,Clothing,2940.66,2,1242.89
80023,2025-07-25,South,Beauty,4415.71,1,513.84
80024,2025-04-10,South,Clothing,4939.72,1,322.19
80025,2025-02-03,North,Clothing,2872.36,4,856.62
80026,2024-10-19,South,Clothing,1558.91,1,181.89
80027,2024-12-28,West,Home,1746.61,2,204.4
80028,2024-12-22,South,Electronics,3100.52,3,549.81
80029,2025-08-14,East,Clothing,1967.36,3,1445.71
80030,2025-06-16,East,Home,2598.63,2,387.86
80031,2025-06-21,South,Clothing,1225.59,1,101.32
80032,2025-05-06,South,Home,4968.81,2,1671.26
80033,2025-07-02,South,Beauty,1040.66,3,664.9
80034,2025-01-27,East,Electronics,4578.72,4,1500.56
80035,2025-04-27,South,Home,4357.67,1,255.39
80036,2025-08-17,North,Clothing,4070.92,3,1147.39
80037,2025-08-05,East,Beauty,4691.54,3,2122.26
80038,2025-06-26,South,Electronics,4048.06,1,1005.1
80039,2024-11-28,West,Beauty,1827.41,1,317.27
80040,2025-04-03,South,Home,930.91,4,351.35
80041,2024-10-12,South,Home,2568.63,4,536.44
80042,2025-05-12,South,Home,126.73,3,31.64
80043,2024-12-27,South,Electronics,4749.69,4,3443.27
80044,2025-01-06,South,Home,4295.2,1,488.51
80045,2025-03-25,West,Beauty,4123.21,1,663.88
80046,2024-12-07,South,Home,1850.8,2,618.78
80047,2025-03-02,East,Electronics,662.62,2,108.41
80048,2025-09-21,South,Home,3584.48,2,944.25
