ticket_id,created_at,category,severity,assigned_group,resolution_days,sla_breach
50000,2025-02-25 16:00:00,Database,Low,Team D,4.39,1
50001,2025-01-11 08:00:00,Application,Low,Team A,2.14,0
50002,2025-03-12 16:00:00,Endpoint,Medium,Team B,0.1,0
50003,2025-01-28 10:00:00,Network,Low,Team C,3.98,1
50004,2025-01-29 16:00:00,Application,Low,Team A,0.62,0
50005,2025-04-05 21:00:00,Application,Medium,Team B,0.23,0
50006,2025-03-12 19:00:00,Endpoint,Medium,Team B,1.13,0
50007,2025-01-10 07:00:00,Network,Medium,Team A,4.58,1
50008,2025-03-15 07:00:00,Network,Medium,Team B,0.07,0
50009,2025-06-08 23:00:00,Network,Low,Team C,1.97,0
50010,2025-01-03 05:00:00,Database,Low,Team C,0.81,0
50011,2025-01-30 03:00:00,Network,Medium,Team C,1.95,0
50012,2025-01-25 09:00:00,Access,Low,Team B,0.62,0
50013,2025-05-21 11:00:00,Endpoint,Critical,Team B,6.83,1
50014,2025-03-02 11:00:00,Network,Low,Team C,0.24,0
50015,2025-01-13 22:00:00,Endpoint,Low,Team C,0.34,0
50016,2025-04-15 09:00:00,Endpoint,Medium,Team D,0.09,0
50017,2025-02-16 18:00:00,Access,High,Team A,3.17,1
50018,2025-01-15 05:00:00,Network,Low,Team C,0.2,0
50019,2025-02-10 22:00:00,Endpoint,Low,Team B,0.65,0
50020,2025-06-04 22:00:00,Network,Low,Team A,0.46,0
50021,2025-06-08 04:00:00,Access,Medium,Team B,0.87,0
50022,2025-02-28 16:00:00,Database,Medium,Team B,2.9,0
50023,2025-01-20 00:00:00,Database,Medium,Team D,6.0,1
50024,2025-03-10 17:00:00,Database,Low,Team C,4.22,1
50025,2025-03-13 06:00:00,Database,Low,Team D,3.68,1
50026,2025-03-07 22:00:00,Application,Low,Team A,1.08,0
50027,2025-01-16 04:00:00,Endpoint,Medium,Team B,3.24,1
50028,2025-02-18 16:00:00,Application,Medium,Team B,3.0,0
50029,2025-01-07 00:00:00,Network,Medium,Team C,0.57,0
50030,2025-02-14 10:00:00,Database,Medium,Team B,0.61,0
50031,2025-02-10 11:00:00,Network,Medium,Team B,1.38,0
50032,2025-03-07 16:00:00,Access,High,Team D,6.62,1
50033,2025-06-26 00:00:00,Endpoint,Medium,Team C,0.23,0
50034,2025-06-23 01:00:00,Access,Medium,Team C,8.91,1
50035,2025-06-22 21:00:00,Endpoint,Medium,Team C,0.35,0
50036,2025-02-21 23:00:00,Access,Medium,Team B,1.33,0
50037,2025-06-07 18:00:00,Access,High,Team D,0.72,0
50038,2025-01-06 12:00:00,Endpoint,Medium,Team A,1.09,0
50039,2025-06-01 21:00:00,Network,Low,Team B,6.33,1
50040,2025-02-22 18:00:00,Access,Medium,Team D,2.0,0
50041,2025-01-09 17:00:00,Endpoint,Medium,Team A,0.71,0
50042,2025-05-17 17:00:00,Endpoint,High,Team B,1.98,0
50043,2025-05-19 03:00:00,Access,Low,Team B,1.2,0
50044,2025-02-03 21:00:00,Network,Critical,Team A,5.74,1
50045,2025-05-27 16:00:00,Database,Medium,Team B,0.87,0
50046,2025-05-24 17:00:00,Application,Critical,Team B,1.76,0
50047,2025-03-30 19:00:00,Database,Medium,Team B,3.79,1
50048,2025-03-02 08:00:00,Access,High,Team D,6.38,1
50049,2025-03-12 15:00:00,Access,Low,Team D,3.21,1
50050,2025-03-04 21:00:00,Endpoint,Low,Team B,5.48,1
50051,2025-03-23 14:00:00,Network,Medium,Team D,1.25,0
50052,2025-03-31 00:00:00,Network,Low,Team B,2.89,0
50053,2025-05-08 07:00:00,Access,Critical,Team D,0.2,0
50054,2025-06-28 02:00:00,Network,Low,Team D,1.8,0
50055,2025-02-21 04:00:00,Application,Low,Team D,0.03,0
50056,2025-03-06 18:00:00,Network,Low,Team A,0.6,0
50057,2025-04-17 18:00:00,Network,Medium,Team B,2.19,0
50058,2025-06-25 11:00:00,Endpoint,Low,Team A,0.38,0
50059,2025-05-23 10:00:00,Access,Low,Team D,0.45,0
50060,2025-04-13 00:00:00,Network,Low,Team D,0.13,0
50061,2025-05-13 11:00:00,Access,Medium,Team B,2.75,0
